City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
labrea,-7.26,-64.8,76.15,94,56,1.9,BR,1584485133
merauke,-8.47,140.33,84.07,70,67,6.17,ID,1584485370
provideniya,64.38,-173.3,30.2,92,75,22.37,RU,1584485371
dongsheng,39.82,109.98,43.09,23,85,24.67,CN,1584485371
general roca,-39.03,-67.58,77.0,33,77,3.36,AR,1584485371
camopi,3.17,-52.32,76.98,80,75,5.44,GF,1584485372
hermanus,-34.42,19.23,64.0,91,2,1.14,ZA,1584485225
saskylakh,71.92,114.08,-21.69,79,17,10.29,RU,1584485151
roald,62.58,6.13,41.0,69,40,24.16,NO,1584485373
brooks,50.58,-111.89,26.01,75,84,8.99,CA,1584485103
cape town,-33.93,18.42,66.99,88,8,11.41,ZA,1584485372
tasiilaq,65.61,-37.64,12.2,78,100,2.24,GL,1584485118
marawi,8.0,124.29,73.99,86,95,5.01,PH,1584485374
charagua,-19.8,-63.22,80.6,69,90,8.32,BO,1584485374
solnechnyy,50.72,136.63,25.57,92,100,3.11,RU,1584485374
san andres,12.58,-81.7,84.2,66,20,12.75,CO,1584485375
victoria,22.29,114.16,70.0,73,20,12.75,HK,1584485137
seoul,37.57,126.98,37.4,93,1,3.13,KR,1584485190
hamilton,39.18,-84.53,53.01,57,40,4.7,US,1584485240
gamba,-2.65,10.0,76.84,87,100,1.03,GA,1584485376
kamenka,51.32,42.77,32.0,71,69,5.73,RU,1584485377
kita,13.03,-9.49,79.79,13,14,1.83,ML,1584485377
margate,51.38,1.39,48.2,93,67,13.87,GB,1584485378
thompson,55.74,-97.86,5.0,45,5,9.17,CA,1584485287
basoko,1.24,23.62,71.29,98,80,5.14,CD,1584485378
labytnangi,66.66,66.42,13.86,85,0,14.65,RU,1584485379
elbistan,38.21,37.2,28.87,98,99,9.53,TR,1584485379
fort nelson,58.81,-122.7,32.0,80,75,9.17,CA,1584485379
kulhudhuffushi,6.62,73.07,83.68,78,68,17.9,MV,1584485381
namatanai,-3.67,152.43,84.06,71,100,4.34,PG,1584485381
gravdal,68.12,13.5,37.4,71,40,8.05,NO,1584485381
karpathos,35.51,27.21,55.4,43,0,24.16,GR,1584485381
port blair,11.67,92.75,82.33,72,100,7.27,IN,1584485382
bonthe,7.53,-12.51,80.55,83,0,8.03,SL,1584485383
imbituba,-28.24,-48.67,73.4,69,75,5.82,BR,1584485383
kapoeta,4.77,33.59,80.91,54,100,5.06,SS,1584485383
chuy,-33.7,-53.46,67.77,83,100,9.93,UY,1584485319
worland,44.02,-107.96,59.0,35,1,5.82,US,1584485141
union,40.63,-74.27,55.4,62,1,6.13,US,1584485384
sorochinsk,52.43,53.16,28.6,86,62,6.71,RU,1584485384
broome,42.25,-75.83,45.0,84,90,3.36,US,1584485385
morros,-9.45,-46.3,76.17,72,17,2.82,BR,1584485385
port-gentil,-0.72,8.78,84.2,83,20,6.93,GA,1584485224
naukot,24.86,69.4,68.95,29,0,3.29,PK,1584485385
sao filipe,14.9,-24.5,67.32,77,71,16.78,CV,1584485386
avarua,-21.21,-159.78,80.6,88,100,18.34,CK,1584485386
karratha,-20.74,116.85,88.09,58,7,11.12,AU,1584485329
saint-honore,48.53,-71.08,37.4,64,75,19.46,CA,1584485394
gat,31.61,34.76,57.2,76,75,16.11,IL,1584485395
bengkulu,-3.8,102.27,74.41,90,69,3.76,ID,1584485309
husavik,66.04,-17.34,32.0,95,90,26.4,IS,1584485396
severo-kurilsk,50.68,156.12,21.33,85,100,23.49,RU,1584485396
nikolskoye,59.7,30.79,39.2,88,75,11.18,RU,1584485396
humenne,48.94,21.92,42.8,56,97,4.7,SK,1584485396
cervo,43.67,-7.41,55.0,1,69,1.43,ES,1584485397
college,64.86,-147.8,36.0,86,20,3.36,US,1584485397
codrington,-38.27,141.97,67.62,57,100,14.12,AU,1584485397
ust-kuyga,70.02,135.6,-18.76,90,60,1.01,RU,1584485246
porto uniao,-26.24,-51.08,65.82,98,76,1.54,BR,1584485398
athabasca,54.72,-113.29,21.92,86,100,3.69,CA,1584485398
udomlya,57.88,34.99,32.2,85,92,9.89,RU,1584485398
plettenberg bay,-34.05,23.37,64.29,77,0,9.95,ZA,1584485399
kalabo,-14.97,22.68,65.98,94,99,4.83,ZM,1584485399
batangafo,7.3,18.28,75.92,24,75,2.35,CF,1584485399
bambanglipuro,-7.95,110.28,77.27,86,92,4.34,ID,1584485400
castro,-24.79,-50.01,65.41,97,0,5.91,BR,1584485201
faanui,-16.48,-151.75,83.43,70,100,6.87,PF,1584485400
hambantota,6.12,81.12,77.0,100,75,6.93,LK,1584485400
jishou,28.32,109.72,49.59,89,56,2.98,CN,1584485401
lompoc,34.64,-120.46,57.2,54,1,5.82,US,1584485401
pemba,-12.97,40.52,80.6,83,40,9.17,MZ,1584485401
nyrob,60.73,56.72,15.57,96,75,4.85,RU,1584485401
tilichiki,60.47,166.1,16.29,86,100,7.72,RU,1584485402
sinnamary,5.38,-52.95,80.67,78,39,13.91,GF,1584485402
nadym,65.53,72.52,16.84,85,94,16.73,RU,1584485402
kununurra,-15.77,128.73,80.6,78,0,2.84,AU,1584485402
buluang,13.31,123.34,75.4,80,8,5.68,PH,1584485403
ullapool,57.9,-5.16,39.0,93,99,3.0,GB,1584485403
mincivan,39.03,46.72,29.53,95,99,3.65,AZ,1584485284
ahipara,-35.17,173.17,62.74,55,0,12.01,NZ,1584485404
acuitzio,20.34,-101.98,76.59,30,2,7.31,MX,1584485404
bandarbeyla,9.49,50.81,78.98,71,44,9.71,SO,1584485404
nantucket,41.28,-70.1,44.6,93,90,5.82,US,1584485371
kayerkan,69.35,87.76,10.4,85,75,26.84,RU,1584485405
chepareria,1.31,35.2,66.72,84,100,4.21,KE,1584485405
tezu,27.92,96.17,61.41,51,14,2.59,IN,1584485406
yumen,40.28,97.2,34.97,29,81,9.06,CN,1584485407
boyolangu,-8.12,111.89,77.29,86,51,0.65,ID,1584485388
raudeberg,61.99,5.14,41.0,80,40,19.46,NO,1584485408
kruisfontein,-34.0,24.73,62.49,83,0,8.39,ZA,1584485203
shingu,33.73,135.98,58.1,55,0,6.08,JP,1584485408
kindu,-2.95,25.95,71.22,95,100,1.05,CD,1584485409
erenhot,43.65,111.98,33.67,74,67,15.55,CN,1584485409
san patricio,19.22,-104.7,82.4,78,40,11.41,MX,1584485358
carballo,43.21,-8.69,57.0,81,0,1.12,ES,1584485409
ilinskiy,55.62,38.12,37.4,59,26,4.47,RU,1584485410
watsa,3.04,29.54,70.02,71,100,1.72,CD,1584485410
mattru,7.62,-11.83,79.48,83,0,3.74,SL,1584485410
necochea,-38.55,-58.74,66.0,84,100,1.01,AR,1584485208
hidrolandia,-4.41,-40.44,73.98,97,82,3.94,BR,1584485411
pangani,-5.43,38.97,81.03,81,100,2.75,TZ,1584485411
galle,6.04,80.22,80.73,75,100,17.25,LK,1584485411
prince rupert,54.32,-130.32,46.4,52,1,12.75,CA,1584485411
natitingou,10.3,1.38,80.28,16,100,3.22,BJ,1584485412
haapiti,-17.57,-149.87,87.8,66,40,9.17,PF,1584485412
vokhma,58.93,46.76,25.23,87,52,7.54,RU,1584485413
tessalit,20.2,1.01,80.38,19,97,0.69,ML,1584485413
pincher creek,49.48,-113.95,30.99,63,75,6.62,CA,1584485413
champerico,14.3,-91.92,89.6,55,40,11.41,GT,1584485414
monrovia,6.3,-10.8,82.4,88,75,4.7,LR,1584485414
mantua,45.17,10.78,48.99,81,0,5.82,IT,1584485414
kemin,42.78,75.69,41.47,87,100,2.95,KG,1584485415
sobreira,41.52,-7.8,52.0,8,0,6.69,PT,1584485415
hokitika,-42.72,170.97,60.94,59,0,6.17,NZ,1584485415
airai,-8.93,125.41,72.9,67,0,4.52,TL,1584485416
talcahuano,-36.72,-73.12,66.2,68,0,12.75,CL,1584485416
pailon,-17.65,-62.75,82.4,83,75,9.17,BO,1584485416
puerto escondido,15.85,-97.07,87.8,70,40,9.17,MX,1584485416
matagami,49.75,-77.63,21.2,73,75,18.34,CA,1584485356
atar,20.52,-13.05,66.67,23,96,8.19,MR,1584485297
conceicao do araguaia,-8.26,-49.26,75.76,86,8,2.51,BR,1584485417
chumikan,54.72,135.31,27.61,77,98,7.36,RU,1584485417
vila velha,-20.33,-40.29,80.6,83,40,5.82,BR,1584485418
marienburg,54.04,19.03,46.99,75,20,6.93,PL,1584485418
bebedouro,-20.95,-48.48,72.79,83,16,1.9,BR,1584485346
fairbanks,64.84,-147.72,37.0,91,20,3.36,US,1584485120
vaitape,-16.52,-151.75,83.43,70,100,6.87,PF,1584485419
padang,-0.95,100.35,68.97,87,51,5.1,ID,1584485420
yar-sale,66.83,70.83,9.54,81,41,12.71,RU,1584485420
maniitsoq,65.42,-52.9,16.23,77,100,22.35,GL,1584485420
mar del plata,-38.0,-57.56,68.0,77,100,2.24,AR,1584485346
bacolod,10.67,122.95,80.76,63,0,5.3,PH,1584485214
lavrentiya,65.58,-171.0,30.79,92,100,11.74,RU,1584485421
podosinovets,60.28,47.07,26.49,81,100,9.15,RU,1584485421
kurchum,48.57,83.65,31.03,74,98,1.81,KZ,1584485422
tonekabon,36.82,50.87,50.0,93,75,2.24,IR,1584485422
lakhdenpokhya,61.52,30.2,37.99,88,100,11.01,RU,1584485183
ilulissat,69.22,-51.1,5.0,50,96,25.28,GL,1584485422
geraldton,-28.77,114.6,64.4,59,93,9.17,AU,1584485423
jiayuguan,39.82,98.3,37.74,25,53,10.36,CN,1584485423
pemangkat,1.17,108.97,76.24,93,13,6.4,ID,1584485423
mandalgovi,45.76,106.27,20.59,45,20,22.79,MN,1584485424
tula,54.2,37.61,32.95,76,0,9.98,RU,1584485145
lufilufi,-13.87,-171.6,81.32,70,68,7.31,WS,1584485424
shishou,29.72,112.42,53.83,86,32,7.05,CN,1584485426
amazar,53.86,120.88,24.55,94,100,4.34,RU,1584485426
svetlyy,54.67,20.13,44.6,75,67,8.95,RU,1584485426
nurota,40.56,65.69,50.0,71,79,2.24,UZ,1584485427
tawang,27.58,91.87,25.0,79,8,3.51,IN,1584485427
yulara,-25.24,130.99,77.0,31,0,8.05,AU,1584485427
kirakira,-10.45,161.92,84.54,69,77,3.47,SB,1584485342
tuatapere,-46.13,167.68,53.01,78,18,1.99,NZ,1584485355
palmer,42.16,-72.33,50.0,70,75,8.05,US,1584485429
abancay,-13.63,-72.88,52.45,90,71,3.4,PE,1584485430
bagdarin,54.43,113.6,13.3,78,91,6.87,RU,1584485430
broadford,-37.2,145.07,75.0,40,48,26.4,AU,1584485431
umred,20.85,79.33,69.8,88,40,3.36,IN,1584485431
elizabeth city,36.29,-76.25,68.0,63,75,3.36,US,1584485431
kovur,14.48,79.98,71.8,92,0,7.87,IN,1584485432
bubaque,11.28,-15.83,79.3,72,30,21.09,GW,1584485432
ahuimanu,21.44,-157.84,73.4,94,90,6.93,US,1584485433
el coco,8.87,-79.81,91.4,58,40,17.22,PA,1584485433
butaritari,3.07,172.79,83.35,75,0,12.68,KI,1584485433
batsfjord,70.63,29.72,26.6,92,75,3.36,NO,1584485433
havoysund,71.0,24.66,28.4,74,75,10.29,NO,1584485322
chillicothe,39.33,-82.98,46.4,65,90,4.63,US,1584485434
zeya,53.75,127.27,26.53,91,100,5.77,RU,1584485434
kaitangata,-46.28,169.85,49.21,72,2,5.1,NZ,1584485435
porto novo,6.5,2.6,84.2,89,40,12.75,BJ,1584485436
nouadhibou,20.93,-17.03,64.4,68,72,20.8,MR,1584485436
gerash,27.67,54.14,60.78,55,0,1.48,IR,1584485436
souillac,-20.52,57.52,75.2,94,40,2.24,MU,1584485437
pattani,6.75,100.42,75.2,94,20,2.24,TH,1584485437
sompeta,18.93,84.6,74.07,56,0,2.98,IN,1584485437
miri,4.41,114.01,75.2,100,75,1.12,MY,1584485438
kasulu,-4.58,30.1,62.98,95,100,2.24,TZ,1584485438
jumla,29.27,82.18,30.11,51,0,5.57,NP,1584485438
moerai,-22.43,-151.33,77.95,85,100,29.82,PF,1584485439
isangel,-19.55,169.27,80.6,78,75,3.36,VU,1584485305
ajaccio,42.0,8.92,50.0,81,2,5.82,FR,1584485439
auki,-8.77,160.7,83.93,73,0,4.25,SB,1584485439
fillan,63.61,8.97,37.99,86,75,34.45,NO,1584485440
tonj,7.27,28.68,77.05,51,61,3.31,SS,1584485440
nanortalik,60.14,-45.24,19.78,55,17,10.92,GL,1584485440
praia,14.92,-23.51,69.8,64,75,17.22,CV,1584485441
meru,0.05,37.66,51.21,88,100,2.42,KE,1584485441
tautira,-17.73,-149.15,87.8,66,40,9.17,PF,1584485441
kahului,20.89,-156.47,82.4,58,20,12.75,US,1584485441
wewak,-3.55,143.63,83.34,67,61,2.64,PG,1584485442
sao raimundo das mangabeiras,-7.02,-45.48,76.12,80,45,1.41,BR,1584485442
esperance,-33.87,121.9,57.2,87,65,10.29,AU,1584485442
mayo,38.89,-76.51,64.99,55,90,4.7,US,1584485442
vardo,70.37,31.11,24.8,92,90,9.17,NO,1584485443
anadyr,64.75,177.48,23.0,79,20,4.47,RU,1584485443
abha,18.22,42.51,62.6,87,1,9.17,SA,1584485227
chandbali,20.78,86.77,76.98,76,0,9.42,IN,1584485443
unai,-16.36,-46.91,69.71,88,10,1.77,BR,1584485331
la ronge,55.1,-105.28,6.8,38,75,3.36,CA,1584485444
batemans bay,-35.72,150.18,53.01,96,0,2.98,AU,1584485444
tiksi,71.69,128.87,-30.86,88,89,7.9,RU,1584485319
bahia honda,22.9,-83.16,75.92,77,24,16.06,CU,1584485445
aba,5.11,7.37,84.2,83,40,5.82,NG,1584485445
canico,32.63,-16.85,59.0,72,40,19.46,PT,1584485445
srandakan,-7.94,110.25,77.27,86,92,4.34,ID,1584485234
flin flon,54.77,-101.86,6.8,38,40,10.29,CA,1584485446
misratah,32.38,15.09,58.6,75,60,22.73,LY,1584485446
ngunguru,-35.62,174.5,66.0,55,0,8.01,NZ,1584485404
dasoguz,41.84,59.97,57.2,48,100,9.17,TM,1584485447
liwale,-9.77,37.93,69.44,97,100,2.73,TZ,1584485447
gusau,12.16,6.66,78.49,6,45,12.5,NG,1584485447
shelburne,44.08,-80.2,42.8,32,1,16.11,CA,1584485447
grindavik,63.84,-22.43,32.0,86,90,23.04,IS,1584485449
taman,45.21,36.72,32.0,52,40,4.47,RU,1584485449
linhares,-19.39,-40.07,73.49,93,1,1.63,BR,1584485449
beringovskiy,63.05,179.32,32.9,84,21,13.42,RU,1584485433
lagos,6.58,3.75,84.2,89,40,4.7,NG,1584485396
el tarra,8.58,-73.09,71.67,84,79,2.51,CO,1584485450
saint-pierre,-21.34,55.48,75.2,88,75,6.93,RE,1584485450
leningradskiy,69.38,178.42,29.23,79,100,7.43,RU,1584485450
saint george,37.1,-113.58,60.8,29,94,16.11,US,1584485451
zhangjiakou,40.81,114.88,40.19,25,78,6.04,CN,1584485452
ust-kan,50.93,84.76,27.57,75,100,6.85,RU,1584485452
avera,33.19,-82.53,71.6,77,1,4.79,US,1584485453
hofn,64.25,-15.21,37.29,88,100,2.01,IS,1584485453
montevideo,-34.83,-56.17,69.8,83,100,12.75,UY,1584485170
poso,-1.4,120.75,73.74,67,8,1.92,ID,1584485454
saint-augustin,51.23,-58.65,27.45,85,100,21.77,CA,1584485184
katsuura,35.13,140.3,55.4,57,75,4.7,JP,1584485455
kodiak,57.79,-152.41,46.4,70,1,3.36,US,1584485456
sunagawa,43.49,141.91,33.8,79,20,5.82,JP,1584485456
abu kamal,34.45,40.92,60.51,82,100,7.56,SY,1584485458
canto do buriti,-8.11,-42.94,73.0,95,31,1.41,BR,1584485458
amahai,-3.33,128.92,81.7,74,62,6.06,ID,1584485349
huarmey,-10.07,-78.15,74.5,65,61,4.74,PE,1584485459
morehead,37.27,-87.18,59.0,54,1,6.93,US,1584485459
krasnorechenskiy,44.63,135.35,31.39,69,0,3.38,RU,1584485459
linqiong,30.42,103.46,51.8,87,4,0.87,CN,1584485460
honningsvag,70.98,25.97,28.4,74,75,10.29,NO,1584485258
bowen,-20.02,148.23,81.0,73,13,13.87,AU,1584485460
oussouye,12.48,-16.55,75.2,83,0,9.17,SN,1584485461
pisco,-13.7,-76.22,71.6,30,75,16.11,PE,1584485291
omsukchan,62.53,155.8,5.7,89,98,1.32,RU,1584485461
north bend,43.41,-124.22,54.0,87,90,13.87,US,1584485462
susehri,40.16,38.09,10.09,95,100,11.68,TR,1584485462
diamantino,-14.41,-56.45,75.83,83,35,3.18,BR,1584485463
chicama,-7.84,-79.15,75.2,83,40,11.41,PE,1584485463
xichang,27.9,102.26,37.11,90,98,1.95,CN,1584485463
keti bandar,24.14,67.45,73.44,43,0,8.97,PK,1584485457
sumbe,-11.21,13.84,75.96,88,99,3.29,AO,1584485464
jiuquan,39.74,98.52,31.84,28,43,2.53,CN,1584485464
kushmurun,52.45,64.63,18.63,88,0,8.86,KZ,1584485465
union hidalgo,16.47,-94.83,85.46,55,0,16.33,MX,1584485465
upernavik,72.79,-56.15,-12.06,51,30,6.33,GL,1584485285
bera,24.08,89.62,70.84,43,0,4.52,BD,1584485466
morant bay,17.88,-76.41,86.0,55,20,12.75,JM,1584485466
kahama,-3.83,32.6,64.89,98,100,5.08,TZ,1584485466
olinda,-8.01,-34.86,84.2,74,40,6.93,BR,1584485466
oksfjord,70.24,22.35,28.4,74,100,2.24,NO,1584485467
touros,-5.2,-35.46,82.4,78,20,10.29,BR,1584485467
luganville,-15.53,167.17,80.6,94,75,2.24,VU,1584485467
shwebo,22.57,95.7,70.57,32,0,4.7,MM,1584485468
arcachon,44.59,-1.05,48.0,100,1,1.12,FR,1584485468
lensk,60.73,114.93,9.25,94,100,7.09,RU,1584485468
amapa,1.0,-52.0,72.63,96,96,3.38,BR,1584485377
chara,56.91,118.26,21.15,79,100,2.62,RU,1584485469
longyearbyen,78.22,15.64,-18.4,68,20,8.05,SJ,1584485309
karwar,14.8,74.13,76.57,83,27,8.23,IN,1584485469
sexsmith,55.35,-118.79,27.0,53,75,2.73,CA,1584485470
banda aceh,5.56,95.32,73.47,81,67,4.76,ID,1584485470
claremore,36.31,-95.62,62.6,51,90,4.7,US,1584485471
jingdezhen,29.29,117.21,55.08,83,7,1.03,CN,1584485472
arkhangelsk,64.54,40.54,32.0,87,75,6.71,RU,1584485472
port hedland,-20.32,118.57,78.8,88,0,3.36,AU,1584485472
marsa matruh,31.35,27.25,55.4,54,40,13.87,EG,1584485473
poum,-20.23,164.02,80.13,75,18,15.41,NC,1584485473
skibbereen,51.55,-9.27,51.8,93,75,14.99,IE,1584485473
otane,-39.88,176.63,58.55,53,100,4.41,NZ,1584485404
leh,34.17,77.58,9.57,76,100,2.84,IN,1584485294
hami,42.8,93.45,40.21,23,17,2.62,CN,1584485474
ginir,7.13,40.7,61.63,72,23,1.19,ET,1584485474
luwingu,-10.26,29.93,63.73,94,87,2.84,ZM,1584485475
bushehr,28.97,50.84,69.71,47,25,7.2,IR,1584485475
gambela,8.25,34.58,81.5,50,93,1.25,ET,1584485475
impfondo,1.64,18.07,74.08,84,92,3.2,CG,1584485476
port hawkesbury,45.62,-61.35,32.0,74,90,13.87,CA,1584485476
sudak,44.85,34.97,29.79,71,62,2.71,UA,1584485477
buchanan,5.88,-10.05,82.4,88,75,4.7,LR,1584485477
klaksvik,62.23,-6.59,37.4,67,43,9.17,FO,1584485319
puerto baquerizo moreno,-0.9,-89.6,80.17,69,28,2.68,EC,1584485477
sabang,5.89,95.32,83.26,74,60,12.88,ID,1584485478
rio gallegos,-51.62,-69.22,64.4,31,24,16.11,AR,1584485383
ugoofaaru,5.67,73.0,84.13,78,80,18.43,MV,1584485478
emba,48.83,58.14,23.38,85,59,5.73,KZ,1584485478
semey,50.41,80.23,31.37,85,99,7.56,KZ,1584485479
